taxa,uid,class
Phyllobates_terribilis,4679516b-405b-444f-974d-9775876716e2,Amphibia
Malacochersus_tornieri,b2dfadad-fd4f-44f5-ae8d-8028059c6f14,Chelonia
Varanus_indicus,ce6a78bc-3ef1-4d60-ab40-113eb84c7802,Lepidosauria
Eudyptula_minor,00cccd9b-0cd7-4677-9918-eddeac5cf1c6,Aves
Corvus_albus,36f21978-8394-47b3-9602-b7a41113103b,Aves
Sturnella_neglecta,f783a5c3-8f88-442d-9005-42791b943d7a,Aves
Dromaius_novaehollandiae,35947c43-1e5c-4003-bbaa-d352530b5af7,Aves
Branta_canadensis,b677ec7b-a2ef-46be-9d78-a997a88e1a9c,Aves
Columba_livia,966eed5e-b869-41b4-8de7-32286ae3656a,Aves
Cacatua_moluccensis,2236b809-b54a-45a2-932f-47b2ca4b8b7e,Aves
Urocolius_macrourus,926aff32-d43e-4b7e-b1f2-be1d69a7c040,Aves
Passer_domesticus,3b74c3e5-1ffa-4089-95b1-371f1b71fce0,Aves
Limosa_lapponica,a6a38d55-71be-43f2-b781-9a845662de20,Aves
Troglodytes_troglodytes,e38c264a-8989-4e69-a6c1-7778b919980d,Aves
Merganetta_armata,23c63b97-e0ab-4b43-89a4-e2358f4f09ec,Aves
Melospiza_melodia,fe8d7b12-73d4-44f1-9efe-eba09eb43b08,Aves
Ursus_americanus,5a5dafa2-6388-43b8-a15a-4fd21cd17594,Mammalia
Panthera_tigris,5e900306-3a5e-4193-8a94-74cc765f0aaf,Mammalia
Alcelaphus_buselaphus,21020aad-069b-404e-a998-77460995320f,Mammalia
Rhinolophus_clivosus,18bfd2fc-f184-4c3a-b511-796aafcc70f6,Mammalia
Megaptera_novaeangliae,07277c99-4477-4131-ba85-7ff9b6b77a23,Mammalia
Equus_hemionus,eed9512e-fb13-46b2-a846-8b149cea7288,Mammalia
Ateles_geoffroyi,aceb287d-84cf-46f1-868c-4797c4ac54a8,Mammalia
Gorilla_gorilla,d9af529d-e426-4c7a-922a-562d57a7872e,Mammalia
Tolypeutes_matacus,5d59b5ce-c1dd-40f6-b295-8d2629b9775e,Mammalia
Macropus_rufus,a55461ac-40a5-44ba-a1ce-372df579ca28,Mammalia
Varecia_variegata,d6cfb28f-136e-4a20-a5ac-8eb353c7fc4a,Mammalia
Macroscelides_proboscideus,b2a34ebf-1eab-4ddc-a926-af305a20828b,Mammalia
